carat,depth,table,x,y,z,price,cut,color,clarity
0.74,62.7,58,5.77,5.72,3.6,3228,Premium,E,VS2
0.96,62.7,58,6.24,6.2,3.9,3229,Premium,I,SI2
1,62.7,58,6.28,6.32,3.95,3234,Good,J,SI2
0.7,59.9,58,5.78,5.8,3.47,3234,Ideal,G,VVS2
0.7,62.8,58,5.68,5.62,3.55,3234,Premium,G,VVS1
0.95,62.5,58,6.3,6.24,3.92,3237,Premium,I,SI2
0.85,61,58,6.11,6.08,3.72,3237,Premium,G,VS2
0.72,61.6,58,5.75,5.78,3.55,3238,Very Good,F,VS2
0.76,62.5,58,5.79,5.83,3.63,3238,Very Good,F,VS2
0.7,60.6,58,5.73,5.75,3.48,3239,Premium,D,VS1
0.77,62.3,58,5.82,5.86,3.64,3240,Very Good,G,VS1
0.81,61.9,58,5.92,5.97,3.68,3243,Very Good,E,SI1
0.9,62.1,58,6.13,6.08,3.79,3246,Premium,G,SI2
0.9,61.1,58,6.22,6.18,3.79,3246,Premium,G,SI2
0.32,60.9,58,4.42,4.45,2.7,564,Very Good,G,VS2
0.7,62.5,58,5.63,5.67,3.53,3247,Very Good,F,VVS2
0.81,62.9,58,5.88,5.94,3.72,3250,Good,G,VS2
0.9,62.4,58,6.11,6.16,3.83,3250,Very Good,H,SI2
0.72,61.1,58,5.78,5.84,3.55,3250,Premium,F,VVS2
0.9,64.2,58,6.04,6.01,3.87,3250,Good,G,SI1
0.73,59.8,58,5.89,5.85,3.51,3250,Premium,D,VS2
0.9,61.8,58,6.21,6.19,3.83,3251,Premium,I,SI1
0.81,61.8,58,5.97,6.04,3.71,3257,Ideal,H,VS1
0.91,61,58,6.22,6.3,3.82,3258,Very Good,J,VS2
0.78,62.5,58,5.86,5.89,3.67,3258,Very Good,D,SI1
0.93,64.7,58,6.09,6.06,3.93,3258,Fair,I,VS2
0.76,60.4,58,5.91,5.97,3.59,3261,Very Good,E,SI1
1.04,63.9,58,6.42,6.35,4.08,3261,Good,H,I1
0.7,60.7,58,5.72,5.75,3.48,3265,Ideal,F,VS1
1,65.7,58,6.25,6.2,4.09,3265,Fair,I,VS2
1,63.2,58,6.43,6.32,4.03,3265,Very Good,I,VS2
0.81,62.8,58,5.92,5.89,3.71,3266,Premium,H,VVS2
0.9,61.7,58,6.17,6.21,3.82,3274,Very Good,I,SI1
1.01,63.2,58,6.42,6.35,4.04,3275,Very Good,G,SI2
1.01,65.5,58,6.28,6.24,4.1,3280,Fair,I,SI1
0.71,62.8,58,5.69,5.75,3.59,3281,Very Good,G,VVS2
0.82,63.1,58,5.95,6,3.77,3282,Very Good,E,SI1
0.91,63,58,6.15,6.07,3.85,3282,Premium,I,VS2
0.92,65.3,58,6.08,6.04,3.96,3282,Fair,F,SI2
0.92,64.2,58,6.14,6.11,3.93,3282,Good,F,SI2
0.92,65.1,58,6.12,6.07,3.97,3282,Fair,F,SI2
0.92,58.1,58,6.46,6.41,3.74,3282,Premium,F,SI2
0.72,62.1,58,5.72,5.75,3.56,3283,Ideal,H,IF
0.74,62.7,58,5.72,5.77,3.6,3285,Premium,E,VS2
0.8,59.7,58,6.02,5.97,3.58,3285,Premium,F,VS2
0.96,62.7,58,6.2,6.24,3.9,3286,Very Good,I,SI2
0.7,62.6,58,5.64,5.67,3.54,3287,Ideal,D,VS1
0.73,61.4,58,5.83,5.86,3.59,3288,Very Good,G,VVS2
0.77,61.8,58,5.84,5.81,3.6,3291,Premium,D,VS2
1,62.7,58,6.32,6.28,3.95,3293,Premium,J,SI2
0.8,61.5,58,5.97,5.93,3.66,3297,Premium,E,SI1
1.02,63.1,58,6.34,6.38,4.01,3298,Good,J,SI2
0.91,61.9,58,6.18,6.22,3.84,3299,Ideal,J,VS2
0.9,62.1,58,6.08,6.13,3.79,3303,Very Good,G,SI2
0.9,61.1,58,6.18,6.22,3.79,3303,Premium,G,SI2
1,63.4,58,6.33,6.3,4.01,3304,Very Good,D,SI2
0.73,61.5,58,5.71,5.8,3.54,3307,Very Good,E,VS2
0.9,64.2,58,6.01,6.04,3.87,3307,Good,G,SI1
0.73,59.8,58,5.85,5.89,3.51,3308,Premium,D,VS2
0.7,62.2,58,5.67,5.71,3.54,3309,Ideal,E,VS1
1.01,63.2,58,6.34,6.31,4,3309,Very Good,I,SI2
0.3,63.5,58,4.21,4.26,2.69,565,Good,G,VS1
0.27,60.1,58,4.21,4.23,2.53,566,Very Good,G,VVS1
0.35,61.6,58,4.54,4.49,2.78,566,Premium,H,SI2
0.34,59.8,58,4.53,4.57,2.72,566,Premium,F,SI1
0.76,60.7,58,5.9,5.93,3.59,3311,Premium,H,VVS1
0.73,61.2,58,5.83,5.77,3.55,3311,Premium,E,VS1
0.81,62.1,58,5.96,5.92,3.69,3311,Premium,G,VS1
0.81,61.6,58,5.96,5.92,3.66,3311,Premium,F,SI1
0.8,61.7,58,5.96,5.93,3.67,3312,Premium,D,SI1
0.96,63.9,58,6.27,6.21,3.99,3312,Good,J,VS2
0.74,61.2,58,5.88,5.82,3.58,3312,Premium,E,VS1
0.9,63.2,58,6.09,6.12,3.86,3318,Good,F,SI2
0.83,61.9,58,5.97,6.01,3.71,3322,Very Good,F,SI1
0.74,62.8,58,5.73,5.76,3.61,3323,Very Good,E,VS2
0.92,63.3,58,6.18,6.14,3.9,3323,Very Good,I,SI1
0.9,62,58,6.11,6.12,3.79,3324,Very Good,H,SI2
0.78,61.2,58,5.92,5.95,3.63,3326,Ideal,D,SI1
0.6,61.2,58,5.42,5.46,3.33,3333,Very Good,F,VVS1
0.71,62.5,58,5.68,5.71,3.56,3333,Very Good,D,VS1
0.78,61.7,58,5.9,5.93,3.65,3334,Very Good,E,VS2
1.01,62.7,58,6.4,6.33,3.99,3337,Premium,I,SI1
0.61,61.7,58,5.39,5.47,3.35,3337,Very Good,E,IF
0.71,63.4,58,5.64,5.69,3.59,3340,Very Good,E,VVS2
0.91,63,58,6.07,6.15,3.85,3340,Very Good,I,VS2
0.92,64.2,58,6.11,6.14,3.93,3340,Good,F,SI2
0.73,60.8,58,5.81,5.87,3.55,3342,Ideal,G,VS1
0.71,62.5,58,5.69,5.73,3.57,3344,Very Good,E,VS2
0.92,63.7,58,6.12,6.18,3.92,3345,Very Good,I,SI1
0.97,58.8,58,6.44,6.41,3.78,3346,Premium,H,SI2
0.71,58.1,58,5.92,5.88,3.43,3347,Premium,F,VVS1
1,65.8,58,6.23,6.27,4.11,3348,Fair,I,SI2
1.01,64.1,58,6.26,6.31,4.03,3349,Good,I,SI2
0.77,62.8,58,5.79,5.86,3.66,3350,Very Good,F,VS1
0.77,63,58,5.81,5.85,3.67,3351,Very Good,D,VS2
0.7,61.9,58,5.67,5.74,3.53,3354,Ideal,G,VVS1
0.8,61.5,58,5.93,5.97,3.66,3356,Premium,E,SI1
0.77,62.7,58,5.82,5.88,3.67,3357,Premium,F,VS1
0.8,62.4,58,5.9,5.96,3.7,3357,Ideal,I,IF
0.9,63.8,58,6.05,6.12,3.88,3357,Good,H,SI1
0.9,60.4,58,6.22,6.27,3.77,3358,Very Good,J,VS1
1.02,63.1,58,6.38,6.34,4.01,3359,Very Good,J,SI2
0.8,61.5,58,5.96,6,3.68,3362,Ideal,E,SI1
0.91,62.7,58,6.17,6.14,3.86,3363,Premium,H,SI2
0.83,63.5,58,5.93,5.98,3.78,3365,Very Good,E,SI1
0.73,61.2,58,5.77,5.83,3.55,3370,Premium,E,VS1
0.86,62.6,58,6.01,6.06,3.78,3372,Premium,F,SI1
0.7,62.8,58,5.65,5.68,3.56,3375,Very Good,D,VS1
1.03,62,58,6.47,6.52,4.03,3378,Premium,J,SI2
0.95,63.5,58,6.19,6.16,3.92,3378,Very Good,I,SI1
0.91,63.4,58,6.15,6.09,3.88,3379,Very Good,E,SI2
0.92,63.3,58,6.14,6.18,3.9,3382,Good,I,SI1
0.3,61.2,58,4.28,4.31,2.63,405,Very Good,I,SI1
0.3,62,58,4.25,4.33,2.66,407,Ideal,H,SI1
0.31,61.3,58,4.34,4.37,2.67,408,Premium,I,SI1
0.31,63,58,4.34,4.36,2.74,408,Very Good,F,SI2
0.91,62,58,6.13,6.2,3.82,3387,Very Good,G,SI2
0.9,62.6,58,6.12,6.08,3.82,3387,Premium,H,SI1
0.9,63.4,58,6.16,6.11,3.89,3387,Very Good,H,SI1
1.04,60.1,58,6.65,6.56,3.97,3392,Premium,E,SI2
1.01,59.8,58,6.57,6.53,3.92,3394,Premium,E,I1
0.9,61.9,58,6.18,6.23,3.84,3398,Premium,I,VS2
0.9,62.3,58,6.15,6.2,3.85,3398,Very Good,G,SI2
0.9,62.4,58,6.12,6.16,3.83,3398,Very Good,I,VS2
1.01,62.8,58,6.28,6.33,3.96,3399,Good,J,SI1
0.88,61.1,58,6.19,6.15,3.77,3400,Premium,G,VS2
0.74,61.1,58,5.84,5.81,3.56,3401,Premium,E,VS1
0.9,61,58,6.19,6.23,3.79,3407,Very Good,I,SI1
1.04,64.2,58,6.42,6.34,4.1,3407,Good,J,SI1
0.83,61.9,58,6.05,6.01,3.73,3408,Premium,F,VS2
1.01,64.1,58,6.31,6.26,4.03,3411,Good,I,SI2
0.91,60.9,58,6.26,6.22,3.8,3414,Premium,H,SI1
0.76,62.1,58,5.84,5.89,3.64,3415,Very Good,E,VS1
1.01,59.2,58,6.58,6.56,3.89,3417,Premium,H,SI1
0.9,62.4,58,6.15,6.19,3.85,3418,Very Good,J,VS1
1.09,63.1,58,6.51,6.46,4.09,3418,Very Good,E,SI2
0.93,63.5,58,6.14,6.05,3.87,3420,Very Good,F,SI2
1,57.6,58,6.59,6.56,3.79,3422,Good,J,VS2
0.91,62.7,58,6.14,6.17,3.86,3423,Premium,H,SI2
1,64.9,58,6.29,6.23,4.06,3427,Fair,J,SI1
0.7,61.5,58,5.67,5.71,3.5,3429,Very Good,E,VVS2
0.78,62.2,58,5.86,5.9,3.66,3429,Very Good,F,VS2
0.8,61.6,58,5.98,6.03,3.7,3429,Premium,F,VS2
0.79,57.7,58,6.06,6.14,3.52,3436,Good,F,VS1
0.9,62.8,58,6.13,6.16,3.86,3437,Very Good,H,SI1
0.82,62.8,58,5.95,5.99,3.75,3443,Very Good,I,VVS1
1.09,64.6,58,6.48,6.41,4.16,3443,Fair,J,VS2
1.22,63.5,58,6.8,6.75,4.3,3443,Very Good,J,SI2
0.9,61.4,58,6.16,6.26,3.81,3445,Very Good,I,VS2
0.9,60.4,58,6.25,6.3,3.79,3445,Premium,G,SI2
0.7,62.5,58,5.68,5.75,3.57,3445,Good,F,VVS2
0.78,61.5,58,5.93,5.98,3.66,3446,Premium,F,VS1
0.9,62.6,58,6.08,6.12,3.82,3447,Very Good,H,SI1
0.9,62.6,58,6.14,6.17,3.85,3447,Very Good,I,VS1
1.04,61.6,58,6.47,6.58,4.02,3449,Very Good,I,SI2
1,64.3,58,6.18,6.11,3.95,3450,Good,E,SI2
0.84,58.8,58,6.16,6.28,3.66,3453,Very Good,E,SI1
0.3,63.1,58,4.26,4.3,2.7,568,Good,D,VS2
0.3,62.3,58,4.26,4.23,2.64,569,Ideal,F,VS2
0.3,61,58,4.33,4.36,2.65,570,Premium,F,VS1
0.94,62.4,58,6.23,6.17,3.87,3456,Premium,F,SI2
0.9,63.1,58,6.13,6.11,3.86,3457,Very Good,F,SI2
0.9,61.6,58,6.23,6.15,3.81,3457,Premium,F,SI2
1.01,65.1,58,6.29,6.21,4.07,3461,Fair,G,SI2
1.01,61.5,58,6.51,6.44,3.98,3461,Premium,G,SI2
1.01,62.9,58,6.34,6.31,3.98,3461,Premium,I,SI2
0.74,62.3,58,5.79,5.77,3.6,3461,Premium,D,VS1
0.74,61.1,58,5.81,5.84,3.56,3462,Premium,E,VS1
0.9,64.4,58,6.04,6.08,3.9,3465,Good,H,SI1
1,63.7,58,6.28,6.15,3.96,3472,Good,H,SI2
1,59,58,6.62,6.5,3.87,3472,Premium,H,SI2
0.9,63,58,6.16,6.12,3.87,3473,Premium,D,SI2
0.78,63,58,5.86,5.8,3.67,3473,Premium,D,VS2
0.91,60.9,58,6.22,6.26,3.8,3475,Premium,H,SI1
0.74,59.8,58,5.9,5.94,3.54,3476,Very Good,D,VS2
0.7,61.6,58,5.67,5.73,3.51,3477,Very Good,D,VS1
0.9,61.6,58,6.15,6.09,3.77,3478,Premium,I,VS2
0.71,61.6,58,5.78,5.72,3.54,3479,Premium,D,VS1
0.83,60.7,58,6.06,6.09,3.69,3482,Premium,E,SI1
0.9,61.4,58,6.16,6.21,3.8,3489,Very Good,G,SI2
0.9,59.9,58,6.22,6.27,3.74,3492,Premium,G,SI2
0.9,62.1,58,6.1,6.18,3.81,3492,Very Good,H,SI2
0.72,62.9,58,5.67,5.71,3.58,3493,Very Good,D,VS2
0.71,60.6,58,5.76,5.79,3.5,3494,Very Good,F,VVS2
0.74,60.9,58,5.85,5.88,3.57,3495,Ideal,G,VVS2
0.72,62.6,58,5.7,5.73,3.58,3495,Ideal,D,VS2
1.02,61.8,58,6.47,6.4,3.98,3496,Premium,G,SI2
1.01,61.7,58,6.4,6.44,3.96,3499,Premium,J,SI2
0.9,63.3,58,6.04,6.13,3.85,3500,Very Good,H,SI1
1.52,64.9,58,7.18,7.13,4.65,3504,Fair,H,I1
0.81,63.1,58,5.92,5.96,3.75,3507,Very Good,G,VS1
1.15,61.2,58,6.74,6.8,4.14,3510,Very Good,G,I1
0.73,63.4,58,5.68,5.7,3.61,3511,Very Good,E,VVS2
1.04,61.6,58,6.58,6.47,4.02,3512,Premium,I,SI2
1.02,61.6,58,6.4,6.35,3.93,3513,Premium,J,VS2
0.8,62.5,58,5.9,5.94,3.7,3514,Premium,G,VS1
0.76,63.4,58,5.76,5.82,3.67,3517,Very Good,E,VS2
0.94,62.4,58,6.17,6.23,3.87,3518,Very Good,F,SI2
0.9,63.3,58,6.07,6.13,3.86,3519,Very Good,I,VS2
0.9,61.6,58,6.15,6.23,3.81,3519,Very Good,F,SI2
0.9,63.1,58,6.11,6.13,3.86,3519,Good,F,SI2
0.9,62.3,58,6.16,6.19,3.85,3519,Very Good,F,SI2
1.11,59.5,58,6.89,6.77,4.07,3524,Premium,J,SI1
1,62.4,58,6.39,6.27,3.95,3528,Premium,F,SI1
1,63.9,58,6.36,6.28,4.03,3528,Good,H,SI2
0.92,60.7,58,6.3,6.25,3.81,3529,Premium,I,SI1
1.03,65.7,58,6.32,6.26,4.13,3530,Fair,G,SI2
0.24,59.9,58,4.06,4.1,2.44,571,Very Good,E,SI1
0.31,62,58,4.3,4.35,2.68,571,Premium,D,SI1
0.31,61.4,58,4.33,4.36,2.67,571,Premium,D,SI1
0.31,63.4,58,4.32,4.35,2.75,571,Good,D,SI1
0.78,60.4,58,6,5.95,3.61,3531,Ideal,F,VS2
0.96,65.6,58,6.11,6.15,4.02,3533,Fair,E,SI2
0.9,63,58,6.12,6.16,3.87,3534,Very Good,D,SI2
0.78,63,58,5.8,5.86,3.67,3534,Very Good,D,VS2
0.9,64.8,58,6.07,6.03,3.92,3538,Fair,H,VS2
0.78,62.2,58,5.9,5.86,3.66,3538,Premium,E,VS1
0.9,62.4,58,6.16,6.22,3.86,3539,Premium,I,VS2
1,64.7,58,6.24,6.19,4.02,3541,Fair,G,SI2
1.52,61.2,58,7.43,7.35,4.52,3541,Premium,I,I1
0.75,61.9,58,5.83,5.86,3.62,3543,Very Good,E,VS1
0.86,61.4,58,6.07,6.1,3.74,3544,Ideal,I,VVS2
0.71,61.9,58,5.74,5.77,3.56,3545,Premium,G,IF
0.9,62.7,58,6.14,6.2,3.87,3545,Premium,H,SI1
1.07,62.2,58,6.56,6.49,4.06,3545,Premium,G,SI2
1.01,63.9,58,6.31,6.37,4.05,3546,Good,E,SI2
1.04,62.4,58,6.4,6.49,4.02,3546,Very Good,H,SI2
1.03,61.6,58,6.5,6.42,3.98,3553,Premium,I,VS1
0.9,61.4,58,6.19,6.13,3.78,3556,Premium,F,SI2
0.9,63.4,58,6.08,6.01,3.83,3556,Very Good,F,SI2
0.73,60,58,5.9,5.86,3.53,3557,Premium,D,VS1
0.93,62.5,58,6.2,6.25,3.89,3562,Very Good,I,VS1
1.01,63.1,58,6.38,6.33,4.01,3563,Very Good,I,SI1
1.01,61.7,58,6.44,6.4,3.96,3563,Premium,J,SI2
0.87,60.4,58,6.19,6.23,3.75,3566,Ideal,E,SI2
0.9,62.4,58,6.15,6.19,3.85,3569,Very Good,F,SI2
1.16,62.1,58,6.72,6.65,4.15,3573,Premium,H,SI2
1.15,61.2,58,6.8,6.74,4.14,3574,Premium,G,I1
0.9,58.7,58,6.3,6.28,3.69,3578,Premium,D,SI2
0.8,61.1,58,5.96,6.03,3.66,3578,Ideal,G,VS1
0.71,61.1,58,5.8,5.72,3.52,3578,Premium,F,IF
0.91,62.5,58,6.13,6.19,3.85,3579,Very Good,I,VS2
0.91,62.7,58,6.14,6.18,3.86,3579,Premium,I,VS2
0.9,62.3,58,6.12,6.17,3.83,3580,Very Good,I,SI1
0.9,62.2,58,6.18,6.13,3.83,3580,Premium,I,VS1
0.71,61.5,58,5.75,5.77,3.54,3582,Ideal,D,VS1
0.98,68.6,58,6.18,6.04,4.19,3583,Fair,H,SI1
1,60.2,58,6.55,6.48,3.92,3584,Premium,G,SI2
1,60.2,58,6.47,6.42,3.88,3584,Premium,F,SI2
1.11,61.9,58,6.63,6.66,4.11,3589,Premium,D,I1
0.7,62.2,58,5.63,5.69,3.52,3591,Premium,G,IF
0.9,62.3,58,6.16,6.19,3.85,3595,Very Good,H,SI1
0.9,64.1,58,6.04,6.09,3.89,3595,Good,E,SI2
1.01,68.7,58,6.14,6,4.19,3597,Fair,I,VS2
1.01,61.3,58,6.42,6.33,3.91,3597,Premium,F,SI2
1.01,62.2,58,6.4,6.37,3.97,3597,Premium,F,SI2
0.83,58.8,58,6.2,6.15,3.63,3602,Premium,G,VS1
0.71,60.9,58,5.76,5.8,3.52,3604,Premium,F,VVS1
0.9,63.9,58,6.12,6.08,3.9,3604,Good,F,SI1
0.91,61.7,58,6.22,6.29,3.86,3609,Premium,F,SI2
0.31,62.1,58,4.3,4.33,2.68,571,Very Good,D,SI1
0.31,61.4,58,4.34,4.39,2.68,571,Premium,D,SI1
0.31,63.5,58,4.27,4.3,2.72,571,Good,D,SI1
0.31,61,58,4.33,4.39,2.66,571,Premium,I,VVS1
1.01,58.8,58,6.52,6.57,3.85,3610,Very Good,I,SI1
1.01,63.9,58,6.37,6.31,4.05,3611,Good,E,SI2
1.04,62.4,58,6.49,6.4,4.02,3611,Premium,H,SI2
0.9,62,58,6.19,6.11,3.81,3617,Premium,J,VVS1
0.71,60,58,5.92,5.84,3.53,3618,Premium,D,VVS2
0.9,61.4,58,6.13,6.19,3.78,3619,Premium,F,SI2
0.73,60,58,5.86,5.9,3.53,3620,Premium,D,VS1
1.01,60.1,58,6.55,6.52,3.93,3620,Premium,H,SI2
0.82,58.7,58,6.1,6.2,3.61,3621,Very Good,F,VS2
0.7,63.1,58,5.6,5.66,3.55,3622,Very Good,F,VVS1
0.82,61.8,58,5.99,6.05,3.72,3622,Ideal,E,SI1
0.7,63.4,58,5.64,5.59,3.56,3622,Very Good,E,IF
0.92,62.4,58,6.19,6.22,3.87,3624,Premium,H,SI1
0.9,63.1,58,6.09,6.15,3.86,3624,Very Good,F,SI1
0.71,62.7,58,5.67,5.72,3.57,3626,Very Good,F,VVS1
1.01,63.6,58,6.31,6.37,4.03,3626,Good,G,SI2
1.01,63.7,58,6.31,6.35,4.03,3626,Good,G,SI2
0.9,64.5,58,6,5.96,3.86,3627,Good,H,SI2
0.9,61.5,58,6.19,6.23,3.82,3629,Ideal,I,VS2
0.9,61.9,58,6.2,6.15,3.82,3629,Premium,H,SI1
1.02,66.6,58,6.21,6.14,4.11,3633,Fair,F,SI2
1.03,62.8,58,6.48,6.41,4.05,3634,Premium,J,SI2
1.14,63.9,58,6.64,6.6,4.23,3639,Good,I,SI1
1,59.8,58,6.53,6.48,3.89,3640,Premium,F,SI2
0.76,62.9,58,5.76,5.85,3.65,3640,Very Good,F,VVS2
1,65.1,58,6.27,6.15,4.05,3640,Fair,H,SI2
0.71,62,58,5.67,5.72,3.53,3642,Premium,G,IF
0.77,62.4,58,5.82,5.87,3.65,3643,Very Good,D,VS1
0.9,63,58,6.13,6.18,3.88,3643,Very Good,H,SI1
0.9,62.2,58,6.13,6.18,3.83,3644,Very Good,I,VS1
0.7,61.7,58,5.66,5.71,3.51,3644,Ideal,F,VVS2
0.91,61,58,6.31,6.27,3.84,3644,Premium,E,SI2
0.93,62.8,58,6.24,6.21,3.91,3646,Premium,H,SI1
0.92,58.4,58,6.4,6.34,3.73,3648,Premium,G,SI2
0.92,62.9,58,6.21,6.15,3.89,3650,Premium,G,SI2
1.01,62.8,58,6.3,6.35,3.97,3655,Good,J,VS2
0.77,60.9,58,5.91,5.95,3.61,3655,Ideal,F,VS1
1.11,61.9,58,6.66,6.63,4.11,3655,Premium,D,I1
1.02,62.5,58,6.42,6.34,3.99,3656,Premium,G,SI2
0.9,63.3,58,6.07,6.1,3.85,3656,Very Good,I,VS1
0.91,62.4,58,6.17,6.21,3.86,3659,Very Good,F,SI2
0.91,62.2,58,6.29,6.18,3.86,3665,Premium,E,SI1
0.74,61.4,58,5.8,5.83,3.57,3668,Ideal,D,VS2
0.9,65.2,58,6,6.06,3.93,3669,Good,G,SI1
0.91,62.8,58,6.16,6.13,3.86,3669,Premium,H,SI1
0.9,63.7,58,6.12,6.09,3.89,3669,Good,G,SI1
1.12,61.2,58,6.72,6.68,4.1,3669,Premium,I,SI2
1.17,62.8,58,6.71,6.69,4.21,3669,Premium,H,I1
0.82,61.8,58,6.02,5.98,3.71,3674,Premium,G,SI1
0.81,61.5,58,5.99,5.94,3.97,3674,Premium,E,VS2
1.01,63.3,58,6.4,6.31,4.02,3674,Very Good,E,SI2
0.92,62.2,58,6.19,6.23,3.86,3675,Premium,H,SI1
1.03,62.3,58,6.5,6.4,4.03,3675,Premium,D,SI2
0.9,63.6,58,6.1,6.13,3.89,3679,Very Good,F,SI1
0.33,62.8,58,4.43,4.39,2.77,572,Premium,I,SI1
0.33,61.4,58,4.5,4.46,2.75,572,Premium,I,SI1
0.33,63.2,58,4.38,4.36,2.76,572,Very Good,I,SI1
0.3,61.7,58,4.28,4.31,2.65,573,Ideal,F,VS2
1.01,62,58,6.41,6.46,3.99,3682,Very Good,G,SI2
1.02,62.5,58,6.4,6.47,4.02,3686,Premium,F,SI2
0.96,65.2,58,6.14,6.12,3.99,3688,Fair,F,SI2
0.72,62.8,58,5.75,5.68,3.59,3689,Premium,F,VVS1
0.71,64.2,58,5.65,5.6,3.61,3690,Good,D,VS1
0.71,61.8,58,5.63,5.73,3.51,3692,Very Good,F,VVS1
0.9,63.5,58,6.08,6.14,3.88,3697,Very Good,E,SI2
0.9,64.7,58,5.98,6.01,3.88,3697,Fair,H,VS2
0.9,58,58,6.24,6.28,3.63,3699,Good,F,SI1
0.9,59.9,58,6.17,6.22,3.71,3709,Very Good,I,VS2
1,60.8,58,6.39,6.44,3.9,3712,Premium,J,SI1
0.8,61.2,58,5.99,6.03,3.68,3713,Ideal,F,VS2
1.02,60.8,58,6.48,6.45,3.93,3713,Premium,H,SI2
0.9,61.3,58,6.13,6.08,3.74,3714,Premium,F,SI1
0.9,61.6,58,6.18,6.23,3.82,3715,Very Good,E,SI2
0.71,60.9,58,5.72,5.78,3.5,3716,Ideal,D,VS1
0.72,62,58,5.71,5.74,3.55,3719,Very Good,E,VVS2
0.91,61.1,58,6.25,6.29,3.83,3723,Ideal,E,SI2
0.92,61.4,58,6.23,6.27,3.84,3725,Premium,I,VS1
0.91,64,58,6.09,6.06,3.89,3730,Good,D,SI1
1.11,64.4,58,6.55,6.5,4.2,3730,Fair,H,SI2
1.01,62.7,58,6.38,6.32,3.98,3733,Premium,F,SI2
0.9,63.7,58,6.09,6.12,3.89,3734,Good,G,SI1
0.91,62.8,58,6.13,6.16,3.86,3734,Very Good,H,SI1
0.9,63,58,6.08,6.11,3.84,3736,Good,E,SI2
1.01,63.9,58,6.37,6.31,4.05,3737,Good,E,SI2
0.9,63.8,58,6.13,6.09,3.9,3740,Good,D,SI2
0.9,62.3,58,6.27,6.05,3.84,3740,Premium,D,SI2
1.52,67.7,58,7.07,7,4.76,3745,Fair,I,I1
0.91,62.6,58,6.14,6.09,3.83,3746,Premium,F,SI2
0.93,63,58,6.16,6.18,3.89,3746,Very Good,E,SI2
1.13,61.2,58,6.77,6.66,4.11,3746,Premium,G,I1
1.03,62,58,6.46,6.41,3.99,3749,Premium,I,SI1
0.3,60.5,58,4.3,4.36,2.62,573,Ideal,F,VS2
0.34,62.8,58,4.46,4.43,2.79,574,Premium,G,SI2
0.34,60,58,4.58,4.55,2.74,574,Premium,F,SI2
0.34,63,58,4.47,4.45,2.81,574,Premium,F,SI2
0.93,64.6,58,6.13,6.07,3.94,3750,Fair,H,SI1
1.25,59.8,58,7.02,6.96,4.18,3751,Premium,J,VS2
1.06,62,58,6.45,6.53,4.04,3754,Very Good,J,SI2
1.02,62.5,58,6.47,6.4,4.02,3754,Premium,F,SI2
0.91,63.3,58,6.11,6.06,3.85,3756,Very Good,H,SI2
0.92,62.9,58,6.18,6.22,3.9,3763,Very Good,F,SI2
1,60.7,58,6.45,6.38,3.9,3763,Premium,E,SI2
1.03,65.6,58,6.3,6.26,4.12,3765,Fair,G,SI2
0.93,63.1,58,6.19,6.21,3.91,3766,Very Good,I,VS2
1.01,63.1,58,6.34,6.38,4.01,3768,Good,F,SI2
0.96,62.7,58,6.27,6.24,3.92,3768,Premium,H,SI1
0.9,62.9,58,6.11,6.02,3.82,3774,Premium,G,SI1
0.9,62.7,58,6.13,6.08,3.83,3774,Premium,G,SI1
0.9,62.7,58,6.11,6.13,3.84,3780,Good,F,SI1
0.9,61.3,58,6.08,6.13,3.74,3780,Very Good,F,SI1
1.04,63.1,58,6.39,6.33,4.01,3780,Very Good,D,SI2
1.04,58.3,58,6.67,6.63,3.88,3780,Premium,D,SI2
1.04,60.3,58,6.6,6.55,3.96,3780,Premium,G,SI1
1,60.8,58,6.44,6.39,3.9,3780,Premium,J,SI1
0.9,62.7,58,6.16,6.09,3.84,3780,Premium,F,SI2
1.04,65.8,58,6.32,6.25,4.13,3780,Fair,D,SI2
0.91,63.8,58,6.09,6.04,3.87,3781,Good,D,SI2
1.01,62.8,58,6.4,6.34,4,3782,Premium,I,SI1
0.9,63.2,58,6.05,6.1,3.84,3787,Very Good,G,SI2
0.9,62.6,58,6.01,6.06,3.78,3787,Fair,F,SI2
1.02,65.3,58,6.33,6.22,4.1,3787,Fair,G,SI2
0.92,61.8,58,6.23,6.19,3.84,3787,Premium,F,SI2
1,62.7,58,6.35,6.41,4,3788,Ideal,J,SI1
1,62.7,58,6.3,6.36,3.97,3789,Very Good,F,SI2
1,61.7,58,6.32,6.36,3.91,3789,Very Good,F,SI2
0.9,64,58,6.06,6.11,3.9,3789,Very Good,D,SI2
1.01,60.7,58,6.52,6.49,3.95,3790,Premium,H,SI2
1,60.3,58,6.49,6.44,3.9,3790,Premium,J,VS2
1.01,62.7,58,6.32,6.43,4,3796,Very Good,G,SI2
1.02,59.3,58,6.56,6.62,3.91,3796,Very Good,J,VS2
0.91,64,58,6.06,6.09,3.89,3796,Good,D,SI1
0.9,62.5,58,6.12,6.16,3.84,3798,Very Good,D,SI2
1,64.1,58,6.35,6.26,4.04,3799,Good,F,SI2
0.78,63.2,58,5.87,5.81,3.69,3800,Very Good,D,VS1
1.01,63.4,58,6.43,6.34,4.05,3801,Very Good,E,SI2
0.9,62.3,58,6.05,6.27,3.84,3806,Good,D,SI2
