carat,cut,color,clarity,depth,table,x,y,z,price,index,0.799233891
2.39,Premium,I,VS1,61.2,60,8.63,8.6,5.27,17642,27247,0.702215904
0.89,Ideal,F,VS2,61.5,55,6.18,6.21,3.81,4854,10767,0.892885825
0.34,Ideal,F,VS2,62.5,55,4.48,4.51,2.81,686,29001,0.531162479
0.52,Very Good,E,VS2,62.8,55,5.11,5.15,3.22,1621,44761,0.002745343
0.3,Ideal,H,VS1,61.3,56,4.33,4.31,2.65,675,28558,0.261995223
2.36,Good,J,SI2,58.9,64,8.75,8.68,5.14,12286,24125,0.154561878
0.51,Ideal,F,VS2,61,55,5.17,5.21,3.17,1591,44448,0.100004742
1.32,Ideal,F,SI1,61.6,56,7.11,7.05,4.36,7079,17587,0.753426568
1.01,Good,G,SI2,62.4,60,6.32,6.38,3.96,4150,6970,0.194398404
0.6,Ideal,F,SI2,61.7,56,5.41,5.38,3.33,1562,44143,0.91230593
1.11,Very Good,J,SI1,62,58,6.57,6.62,4.09,3901,5778,0.484807561
0.31,Premium,H,SI1,62.3,55,4.36,4.34,2.71,573,5049,0.170942671
0.8,Premium,D,SI2,61.1,58,5.94,5.9,3.62,3082,1927,0.708729487
0.5,Very Good,D,SI2,58.9,60,5.2,5.23,3.07,1123,40217,0.619039008
1.52,Very Good,I,SI1,63.7,58,7.23,7.3,4.63,8794,20440,0.07819955
1.23,Very Good,H,SI2,63.2,58,6.8,6.74,4.28,4711,10084,0.693076614
1.75,Premium,D,SI2,60.6,60,7.78,7.74,4.7,13485,24981,0.478679029
0.54,Ideal,D,VS2,61.8,57,5.22,5.26,3.24,1892,47756,0.430557421
0.51,Ideal,E,SI1,59.6,57,5.24,5.2,3.11,1546,44019,0.824995319
0.33,Ideal,H,VS2,60.6,56,4.51,4.54,2.74,539,49293,0.392592996
0.31,Ideal,D,VVS2,62.2,54,4.34,4.38,2.71,840,33741,0.792236044
0.31,Ideal,G,VVS2,61.2,54,4.38,4.41,2.69,677,28664,0.19373919
0.55,Good,F,VS1,59.5,62,5.3,5.35,3.17,1682,45513,0.829572026
2.21,Ideal,G,SI2,60.2,60,8.38,8.47,5.07,18128,27473,0.99387019
1.02,Very Good,J,SI2,63.4,56,6.42,6.36,4.05,3599,4338,0.530396477
1.01,Fair,E,SI2,64.6,59,6.22,6.18,4.01,3294,2949,0.088295928
0.24,Ideal,H,IF,62.5,54,3.97,4,2.49,504,41627,0.351255241
0.68,Premium,H,SI1,59.5,59,5.77,5.73,3.42,1666,45384,0.546379063
0.52,Good,G,VS2,63.3,57,5.09,5.11,3.23,1349,42782,0.552639035
0.3,Ideal,G,VVS1,60.6,57,4.36,4.38,2.65,734,30532,0.695184943
0.73,Ideal,I,VS1,61.6,55,5.77,5.79,3.56,2596,52996,0.003734358
0.73,Ideal,E,SI1,60.6,54,5.84,5.89,3.55,2803,333,0.389331328
0.31,Very Good,H,SI1,62.4,60,4.32,4.34,2.7,446,29964,0.016835307
0.41,Premium,G,VS2,60.9,61,4.75,4.74,2.89,1061,39132,0.292875888
1,Premium,D,SI2,60.3,58,6.48,6.45,3.9,4295,7823,0.427454193
1.05,Ideal,G,VS2,61.6,59,6.51,6.54,4.02,6981,17421,0.297590659
1.14,Premium,H,SI1,62.1,59,6.73,6.61,4.14,4463,8746,0.477704011
0.7,Very Good,E,VS1,60.7,57,5.72,5.75,3.48,3358,3260,0.442982018
0.5,Premium,E,VS2,62.9,60,5.1,5.07,3.2,1676,45470,0.701323858
0.61,Good,D,SI2,59.8,62,5.48,5.53,3.29,1423,43515,0.634106733
1.14,Premium,H,VS1,62,62,6.74,6.65,4.15,5809,14350,0.129017539
0.81,Ideal,I,SI1,61.3,56,6.27,6.23,3.83,3043,1756,0.995827413
0.37,Ideal,G,VS1,61.9,54,4.62,4.68,2.88,741,30774,0.70879716
0.34,Ideal,E,VS1,61.2,57,4.51,4.45,2.74,1033,38530,0.625852221
0.9,Very Good,D,SI1,60.1,58,6.27,6.3,3.78,4130,6879,0.409078159
1,Good,F,VVS2,56.5,63,6.65,6.62,3.75,7016,17476,0.847473586
0.7,Ideal,F,VVS1,62.2,57,5.7,5.74,3.56,4458,8685,0.418775524
0.4,Ideal,H,SI2,62.2,56,4.71,4.75,2.94,596,11059,0.723480886
1.03,Fair,E,SI2,65.3,59,6.3,6.25,4.1,3876,5624,0.423762978
0.28,Ideal,E,VVS2,60.3,57,4.21,4.25,2.55,646,27370,0.773355402
1.56,Premium,I,VS2,60.8,59,7.56,7.51,4.58,7326,18110,0.166237881
0.3,Premium,G,VVS2,62.8,60,4.28,4.25,2.68,878,34866,0.9343846
1.03,Ideal,G,SI1,60.9,57,6.54,6.5,3.97,4900,10950,0.604190067
1.15,Very Good,H,SI2,63,54,6.64,6.73,4.21,4483,8868,0.726537571
0.89,Good,E,SI2,61.6,60.9,6.13,6.24,3.82,3284,2911,0.634571995
1.04,Premium,D,SI2,60.9,57,6.54,6.49,3.97,4123,6843,0.231917648
2.01,Good,E,SI2,60,64,8.17,8.09,4.88,16733,26835,0.005483591
1,Good,E,SI1,62.4,59,6.35,6.4,3.98,4936,11115,0.96329987
0.37,Good,F,SI1,63.7,55,4.59,4.55,2.91,738,30718,0.730447699
0.53,Premium,J,VS2,62.7,56,5.18,5.15,3.24,1093,39745,0.710960464
2,Ideal,F,SI2,62.6,57,8.08,8.01,5.04,18172,27485,0.503465889
0.23,Good,G,VVS1,56.2,60,4.14,4.19,2.34,395,47304,0.779644098
0.31,Ideal,E,VS2,61.8,54,4.37,4.34,2.69,872,34648,0.603583644
0.4,Ideal,E,VVS1,60.8,57,4.79,4.82,2.92,1278,42116,0.725947063
0.7,Good,I,SI1,63.5,59,5.62,5.65,3.58,1899,47794,0.434499473
0.32,Ideal,G,VVS1,61.8,54,4.4,4.43,2.73,814,33045,0.571853012
1,Very Good,H,SI1,62.1,58,6.44,6.45,4,5247,12456,0.96903537
0.32,Very Good,H,VS2,63,57,4.33,4.37,2.74,505,42296,0.783059433
1.2,Premium,E,VS2,63,58,6.75,6.71,4.24,9139,20926,0.319835278
0.87,Ideal,F,VS1,62,55,6.1,6.13,3.79,5640,13838,0.570508981
2.02,Good,H,SI2,59,61,8.26,8.31,4.89,13144,24779,0.513667915
0.24,Good,E,VVS1,58,60,4.08,4.12,2.38,526,45967,0.934830062
0.42,Ideal,I,VVS1,62.5,57,4.8,4.77,2.99,945,36529,0.132997275
0.44,Ideal,H,SI2,62.3,54,4.89,4.93,3.06,654,27876,0.544642111
1.01,Very Good,G,SI1,62.9,54,6.41,6.47,4.05,4588,9417,0.817284069
1.26,Very Good,G,VVS1,60.2,59,6.98,7.07,4.23,10922,22881,0.194351855
0.39,Very Good,F,SI1,63.3,54,4.67,4.62,2.94,921,36011,0.009681107
0.44,Ideal,G,VS2,62,55,4.89,4.91,3.04,869,34545,0.108411001
0.37,Premium,G,VS2,61.3,60,4.6,4.63,2.83,649,27792,0.201557731
0.32,Ideal,D,VS2,61.3,57,4.44,4.46,2.73,713,29920,0.731593875
0.75,Ideal,J,SI1,61.5,56,5.83,5.87,3.6,2850,682,0.462287921
0.7,Ideal,E,SI1,62.4,55,5.67,5.7,3.55,2614,53101,0.167035382
2.02,Ideal,I,VS1,62.1,56,8.13,8.09,5.04,18324,27550,0.198595299
1.21,Ideal,F,VS2,62.6,55,6.8,6.75,4.24,7826,19008,0.254071824
1.22,Premium,I,SI2,61.7,59,6.84,6.8,4.21,4735,10184,0.608583718
0.51,Ideal,D,VS1,61.7,54,5.15,5.12,3.17,1845,47278,0.818189018
0.38,Good,E,IF,59.1,58,4.74,4.77,2.81,1318,42484,0.54147978
1.44,Very Good,D,VS2,63.1,56,7.15,7.12,4.5,10967,22931,0.601951552
1.03,Premium,F,SI2,60.2,55,6.59,6.53,3.95,3974,6091,0.517912952
1.2,Ideal,F,SI1,61.5,53,6.87,6.9,4.24,7463,18341,0.336751792
0.35,Ideal,I,VS1,62.1,54,4.54,4.57,2.83,571,4056,0.286002398
0.3,Ideal,G,IF,62.5,54,4.31,4.33,2.7,863,34432,0.455239875
0.79,Ideal,F,SI2,61.9,55,5.97,5.92,3.68,2771,165,0.635836954
0.6,Very Good,E,VS2,62.9,59,5.34,5.38,3.37,2085,49242,0.740549863
0.75,Good,J,SI1,63.9,56,5.76,5.71,3.66,2250,50382,0.440488465
1.82,Premium,G,SI2,61.3,58,7.94,7.83,4.83,12081,23947,0.377534516
0.42,Premium,G,SI1,62.7,59,4.75,4.72,2.97,920,35937,0.011765234
1.05,Premium,I,SI2,58.3,57,6.72,6.67,3.9,2911,1089,0.799775265
0.38,Ideal,F,VS1,61.1,56,4.69,4.71,2.87,1013,38062,0.801008844
0.7,Very Good,F,VS2,61.4,57,5.73,5.76,3.53,2400,51697,0.291852245
0.9,Ideal,E,SI2,62.1,56,6.25,6.19,3.86,3804,5313,0.455747111
1.51,Ideal,G,VS2,62.8,57,7.33,7.26,4.58,10553,22516,0.577952008
1.59,Ideal,H,VS1,61.8,56,7.49,7.53,4.64,14031,25330,0.477095837
2.18,Ideal,F,SI2,62.6,55,8.27,8.22,5.16,14277,25491,0.889165191
1.02,Fair,D,SI1,70.6,57,6.08,6.01,4.27,4398,8357,0.700628982
1.35,Ideal,G,VS1,62.2,57,7.09,7.05,4.4,10244,22203,0.21935021
2,Fair,J,SI1,66.4,55,7.82,7.67,5.15,11189,23176,0.257040066
0.7,Ideal,D,VS1,62.9,57,5.67,5.61,3.55,3229,2634,0.820371104
1.23,Very Good,G,SI2,63.4,58,6.8,6.77,4.3,5550,13549,0.913546406
1.53,Ideal,I,VS1,62.9,57,7.36,7.3,4.61,7968,19231,0.410358702
1.25,Ideal,G,VS2,60.9,57,6.96,6.99,4.25,9590,21495,0.433539712
0.5,Premium,E,VS2,61,59,5.13,5.07,3.11,1583,44393,0.674887859
2,Very Good,I,VS2,60.4,60,8.14,8.19,4.93,16459,26655,0.710198291
1.02,Premium,E,SI2,59.9,58,6.6,6.55,3.94,4478,8834,0.314965906
0.5,Premium,D,SI2,58.5,60,5.21,5.19,3.04,1178,40906,0.223864451
0.41,Fair,H,SI1,65.4,61,4.51,4.63,2.99,659,28041,0.930481546
1.26,Very Good,G,SI1,63.3,58,6.88,6.84,4.34,7910,19149,0.429969814
1.5,Very Good,E,SI1,59.3,60,7.4,7.5,4.42,12247,24098,0.383210885
0.57,Good,D,SI1,62.2,64,5.29,5.23,3.27,1847,47396,0.678501471
0.54,Premium,H,VVS2,60.6,60,5.29,5.31,3.21,1662,45275,0.172927933
0.28,Very Good,E,VS1,60.2,58,4.23,4.27,2.56,487,38290,0.552743335
1.16,Good,H,SI1,64.2,58.6,6.61,6.66,4.26,5314,12732,0.01651547
1.5,Very Good,I,VVS2,64,54,7.19,7.27,4.63,9618,21518,0.107885897
0.58,Very Good,F,SI1,59.4,58,5.45,5.5,3.25,1442,43793,0.662351172
0.28,Ideal,H,VS1,62.3,55,4.21,4.24,2.63,481,37266,0.735671243
0.3,Ideal,H,SI1,62.2,57,4.27,4.28,2.66,450,31627,0.894670904
0.34,Ideal,I,SI1,62.4,56,4.45,4.49,2.79,459,32946,0.686566641
0.34,Very Good,I,SI1,59.2,61,4.57,4.58,2.71,447,30282,0.394728807
0.71,Fair,G,SI2,64.4,58,5.59,5.56,3.59,2300,50773,0.774773598
0.51,Premium,D,VS2,62,60,5.07,5.12,3.16,1716,45872,0.128972311
0.3,Very Good,G,SI1,60.1,58,4.31,4.34,2.6,413,6714,0.83011241
0.53,Ideal,D,SI2,60.4,57,5.3,5.26,3.19,1412,43409,0.685505136
0.9,Fair,D,SI2,64.6,59,6.04,6.01,3.89,3847,5510,0.009228514
1.1,Premium,E,SI2,60,60,6.7,6.73,4.03,4201,7290,0.13220898
0.31,Ideal,G,VVS1,59.5,56,4.43,4.41,2.63,1046,38787,0.622519719
0.5,Premium,F,VS1,58,59,5.3,5.22,3.05,1715,45858,0.398709155
1.07,Very Good,E,VS2,60.4,58,6.61,6.66,4.01,6441,16113,0.489661836
1.2,Ideal,H,SI1,61.3,57,6.81,6.85,4.19,6675,16765,0.130832234
0.31,Very Good,H,VS2,63.5,57,4.34,4.32,2.75,628,22367,0.999860864
0.38,Ideal,D,VS2,61.8,56,4.65,4.67,2.88,1013,38061,0.371301341
2.01,Premium,F,SI1,59.5,58,8.21,8.18,4.88,14502,25629,0.707008571
1.01,Very Good,G,VS1,63.1,57,6.32,6.39,4.01,6936,17311,0.449114663
0.24,Ideal,F,VS2,61.8,57,3.97,4.02,2.47,417,10037,0.60177089
0.35,Ideal,E,VS2,62.1,56,4.52,4.53,2.81,767,31577,0.15906768
0.5,Premium,E,SI1,61.4,62,5.1,5.07,3.12,1238,41567,0.069182908
0.34,Ideal,D,SI1,62.7,56,4.45,4.48,2.8,626,21390,0.900846578
0.58,Ideal,F,VS1,61.9,54,5.33,5.37,3.31,1772,46439,0.668396097
0.55,Premium,G,SI1,61.8,59,5.25,5.2,3.23,1321,42505,0.950305836
0.32,Ideal,G,VVS2,62,54,4.39,4.42,2.73,708,29737,0.193656454
1.09,Premium,H,VS1,60.2,61,6.7,6.66,4.02,5951,14793,0.543860653
0.33,Ideal,H,VVS1,61.6,55,4.45,4.48,2.75,730,30389,0.934722619
0.37,Ideal,E,VS1,61.2,56,4.64,4.67,2.85,876,34735,0.20908415
0.54,Ideal,H,VS2,60.1,57,5.28,5.33,3.19,1338,42694,0.848759714
0.32,Very Good,G,VS1,62.8,58,4.34,4.39,2.74,645,26346,0.744922931
2.27,Fair,G,I1,68.6,56,7.99,7.94,5.47,7131,17692,0.651645397
0.7,Ideal,G,VVS1,61.9,58,5.67,5.74,3.53,3354,3243,0.672164419
2.09,Premium,H,SI2,61.4,60,8.24,8.2,5.05,14581,25667,0.455096965
0.71,Very Good,I,VS2,60.4,60,5.72,5.8,3.48,2185,49936,0.918970023
1.2,Good,D,SI2,62.2,65,6.75,6.7,4.18,6344,15863,0.662243363
1.01,Ideal,G,VS2,62.7,54,6.43,6.47,4.04,6937,17315,0.343057843
0.58,Ideal,F,SI1,62.2,57,5.37,5.33,3.33,1705,45758,0.63030996
0.54,Ideal,G,VS1,61.8,54,5.24,5.22,3.23,1847,47382,0.794844345
1.72,Ideal,G,VS2,62.4,55,7.63,7.68,4.78,17125,27009,0.042015257
0.31,Good,I,VS1,63.8,56,4.32,4.27,2.74,628,22050,0.289376732
1.1,Premium,D,SI1,60.7,55,6.74,6.71,4.08,6468,16184,0.754117464
0.24,Good,F,VVS2,64,61,3.91,3.93,2.51,471,34958,0.160365053
0.51,Good,D,VVS2,63.1,58,5.07,5.1,3.21,2174,49866,0.561429361
0.74,Ideal,D,VS2,61.8,56,5.79,5.82,3.59,3858,5559,0.525982639
0.52,Ideal,E,SI1,61.6,55,5.16,5.19,3.19,1555,44097,0.3627106
1.22,Premium,I,SI2,62.3,58,6.85,6.8,4.25,4919,11035,0.121677259
0.57,Ideal,G,VVS1,61.9,57,5.31,5.35,3.3,2217,50160,0.718979997
1.11,Premium,I,SI2,61.5,58,6.61,6.65,4.08,4120,6828,0.016476261
0.7,Very Good,E,SI1,60.3,58,5.73,5.85,3.49,2239,50279,0.366939398
0.34,Very Good,F,VS1,61.1,57,4.51,4.54,2.76,739,30729,0.527481865
1.26,Ideal,G,VVS2,60.7,56,7.05,7.03,4.27,10556,22520,0.902317088
0.4,Premium,G,VS1,60.3,59,4.76,4.8,2.88,877,34791,0.136476127
0.92,Premium,E,VS2,61.2,62,6.27,6.22,3.82,4600,9461,0.341874171
0.9,Very Good,D,SI2,62.9,56,6.09,6.19,3.86,4078,6581,0.619174932
0.4,Good,I,VS2,63.8,54,4.68,4.72,3,666,28209,0.225421195
1.52,Very Good,G,VS2,63.3,57,7.32,7.27,4.62,11338,23306,0.727213929
0.32,Ideal,G,VS1,60.7,56,4.43,4.46,2.7,602,13399,0.59342146
1,Very Good,G,SI1,59.6,60,6.43,6.49,3.85,4997,11367,0.35272713
1.34,Ideal,H,VVS1,62.1,56,7.05,7.11,4.4,10255,22207,0.094727987
0.36,Very Good,G,VVS2,61.9,58,4.54,4.6,2.83,821,33227,0.21343823
1.03,Premium,E,SI1,61.3,60,6.53,6.51,4,5101,11848,0.9783461
0.31,Good,H,SI1,63.6,57,4.32,4.33,2.75,446,29967,0.298845216
1.2,Premium,G,SI1,62.7,58,6.71,6.66,4.19,6451,16147,0.403639625
1.22,Very Good,G,VS1,62.2,58,6.75,6.81,4.22,8633,20187,0.800559938
2.01,Ideal,J,SI1,62.7,56,8.08,8.03,5.05,12209,24066,0.12009708
1.16,Good,H,SI1,64,58,6.63,6.56,4.22,5678,13958,0.637509915
0.9,Very Good,D,SI1,63.4,57,6.13,6.1,3.88,4447,8625,0.081059077
0.4,Good,G,VVS2,61.4,64,4.65,4.7,2.87,974,37200,0.282449939
0.46,Ideal,E,SI2,61.3,56,4.96,5.02,3.06,870,34549,0.618858744
0.5,Very Good,D,VS1,63.1,57,5.04,5,3.17,1715,45864,0.944286206
1,Good,D,VS2,63.9,56,6.34,6.31,4.04,7200,17850,0.482541759
0.59,Good,E,SI2,57.4,62,5.53,5.49,3.16,1327,42575,0.338428599
0.33,Premium,D,SI1,60.4,60,4.46,4.41,2.68,780,32071,0.773413319
0.3,Ideal,H,SI1,62.6,55,4.32,4.28,2.69,540,49644,0.70720937
0.6,Ideal,D,VS2,62,55,5.39,5.42,3.35,2444,52008,0.935866404
1.1,Premium,H,SI1,63,58,6.6,6.55,4.14,4916,11009,0.297394452
2.33,Very Good,H,SI2,63.2,56,8.44,8.35,5.31,13500,24991,0.344698516
0.32,Ideal,G,VS1,61.6,57,4.38,4.42,2.71,645,26025,0.083803943
0.72,Ideal,E,VVS2,62,54.9,5.75,5.78,3.57,4094,6660,0.184308783
0.55,Ideal,G,VVS1,62,55,5.25,5.27,3.26,2042,48928,0.409168724
0.3,Ideal,E,VVS2,61.4,55,4.33,4.36,2.67,949,36659,0.408212497
0.4,Premium,E,VS1,62.5,58,4.72,4.69,2.94,1125,40311,0.59243973
0.39,Ideal,E,IF,61.3,56,4.71,4.75,2.9,1333,42663,0.114449777
0.41,Ideal,H,VS2,60.7,55,4.83,4.86,2.94,1163,40746,0.41678352
0.76,Ideal,I,IF,61.6,55,5.92,5.89,3.64,2988,1489,0.713596557
0.51,Ideal,E,VS2,62,54,5.13,5.1,3.17,1662,45298,0.62790349
2.03,Very Good,I,SI2,61.2,55,8.14,8.26,5.02,12714,24453,0.076509217
0.33,Premium,H,IF,61.7,59,4.45,4.43,2.74,1010,38026,0.615644948
0.5,Fair,G,VS1,66.8,56,4.85,4.91,3.26,1367,42987,0.731733702
1.31,Ideal,H,VS2,61.8,57,7.02,7.06,4.35,8261,19651,0.462436923
0.4,Premium,D,VS1,62.5,60,4.66,4.72,2.93,1123,40226,0.225826591
0.51,Ideal,H,SI1,62.1,54,5.13,5.15,3.19,1161,40729,0.220595775
1.04,Ideal,H,SI2,62.1,56,6.48,6.5,4.03,4404,8413,0.335094694
1.65,Ideal,G,VS1,62.3,55,7.56,7.6,4.72,15281,26065,0.800855956
1.01,Ideal,I,VS2,64.1,58,6.27,6.21,4,4378,8258,0.19640173
1.32,Very Good,G,SI2,61.6,57,6.98,7.05,4.32,7173,17796,0.24061293
0.7,Ideal,H,SI1,60.4,56,5.75,5.81,3.49,2815,436,0.737222568
0.33,Premium,F,VS2,62.4,58,4.37,4.41,2.74,666,28347,0.554422347
1.51,Premium,G,VS2,62.5,59,7.34,7.28,4.57,12872,24574,0.077512797
0.5,Premium,F,VS2,61.8,58,5.1,5.06,3.14,1654,45151,0.299552459
1.72,Ideal,G,VVS2,62,57,7.63,7.72,4.76,18431,27590,0.663370555
1.11,Good,G,SI2,59.7,61,6.72,6.69,4,5438,13147,0.758581104
1.27,Ideal,F,SI2,62,55,6.9,6.95,4.3,5308,12683,0.982111906
0.73,Very Good,F,VS1,61.8,59,5.73,5.79,3.56,2843,648,0.326365191
0.5,Ideal,E,VS1,61.9,55,5.08,5.13,3.16,1675,45457,0.184095071
0.59,Very Good,D,SI1,62.8,57,5.32,5.38,3.36,1743,46111,0.09994418
1.13,Ideal,F,SI2,60.4,56,6.78,6.72,4.08,4449,8631,0.074461842
0.43,Premium,F,SI1,62.5,56,4.85,4.82,3.02,1016,38205,0.957063199
0.3,Ideal,D,VS2,62.3,56,4.32,4.29,2.68,911,35735,0.748066868
1.54,Ideal,I,VS2,60.7,56,7.51,7.46,4.54,7848,19075,0.195939155
0.36,Ideal,D,VS2,61,56,4.59,4.63,2.81,852,34077,0.216191887
0.96,Fair,H,I1,67.4,62,6.13,5.96,4.08,1808,46824,0.157708059
0.31,Very Good,E,SI1,63.3,55,4.35,4.31,2.74,698,29380,0.594401462
0.46,Ideal,I,VVS2,61.4,57,4.96,5,3.06,1006,37885,0.189840592
0.41,Good,J,VS1,63.7,56,4.71,4.68,2.99,830,33563,0.599237009
0.9,Good,D,SI1,64.1,56,6.07,6.04,3.88,3689,4764,0.414272477
1.35,Ideal,H,SI1,62.8,57,6.98,7.09,4.42,7619,18655,0.286162338
0.41,Good,J,IF,63.5,54,4.7,4.75,3,827,33360,0.371418637
0.57,Ideal,G,VS1,61.1,57,5.34,5.36,3.27,2060,49081,0.198445802
1,Very Good,D,SI1,60.3,58,6.44,6.49,3.9,6196,15474,0.716543304
1.04,Ideal,G,SI2,61.4,57,6.54,6.48,4,4455,8671,0.365361717
0.31,Ideal,E,VVS2,61.6,55,4.38,4.35,2.69,1046,38773,0.462713963
0.4,Ideal,H,SI2,62.6,55,4.73,4.76,2.97,625,20044,0.261092328
0.73,Ideal,I,SI1,61.7,55,5.78,5.82,3.58,2733,53811,0.696259893
2.25,Premium,H,SI1,61.5,61,8.47,8.41,5.19,17233,27096,0.656869872
0.97,Premium,H,SI2,58.8,58,6.44,6.41,3.78,3346,3204,0.115416969
1.02,Premium,H,SI2,58.3,59,6.61,6.57,3.84,3313,3083,0.519661359
0.34,Premium,D,VS2,59.3,59,4.59,4.55,2.71,881,34991,0.157784186
0.51,Premium,G,VS1,61,58,5.2,5.16,3.16,1591,44453,0.271928738
0.5,Good,G,VS2,57.9,61,5.23,5.2,3.02,1415,43441,0.283222174
2.12,Premium,I,VS2,61.5,58,8.3,8.26,5.09,17254,27105,0.661187808
1.13,Very Good,F,SI2,59.1,59,6.81,6.87,4.04,5014,11478,0.436689309
1.2,Premium,G,VVS2,62.4,56,6.74,6.68,4.19,8870,20560,0.438700036
0.38,Very Good,D,SI2,61.1,58,4.62,4.68,2.84,633,24038,0.966450566
0.72,Premium,F,SI1,61.6,60,5.79,5.73,3.55,2314,50878,0.138003132
0.91,Premium,F,SI2,61.4,60,6.21,6.23,3.82,3682,4745,0.451370602
1.58,Ideal,E,SI1,61,57,7.55,7.5,4.59,13557,25053,0.19446622
0.3,Ideal,H,VS2,60.7,57,4.33,4.37,2.64,473,35611,0.727838456
0.45,Fair,E,VS2,66.9,60,4.78,4.71,3.18,980,37330,0.924211014
1.5,Good,E,VS2,63.9,58,7.21,7.19,4.6,13846,25236,0.070269814
1.23,Very Good,H,SI1,60.3,58,6.93,6.96,4.19,6997,17447,0.971198493
1.84,Premium,H,SI1,59.7,58,8.01,7.98,4.77,13905,25267,0.503243
1.05,Premium,G,VS2,62.5,55,6.59,6.54,4.1,5927,14691,0.236640176
0.39,Ideal,F,VS1,62,55,4.66,4.69,2.9,1003,37866,0.695702126
0.9,Good,H,SI1,62.8,62,6.05,6.09,3.81,3447,3689,0.806131778
0.28,Ideal,F,VVS2,62.2,53,4.22,4.23,2.63,787,32155,0.529981342
1.54,Ideal,H,VVS2,62.6,56,7.35,7.42,4.62,12061,23932,0.499242476
2.09,Very Good,I,SI2,63.1,60,8.04,8.12,5.1,13500,24990,0.184117065
1.01,Premium,H,VS2,61.9,62,6.45,6.37,3.97,4559,9245,0.516740726
0.32,Ideal,I,VVS1,62.5,55,4.37,4.4,2.74,589,9375,0.014119869
0.71,Ideal,H,VS1,61.8,55,5.72,5.77,3.55,3229,2635,0.939586235
0.66,Very Good,D,VVS2,60.7,59,5.6,5.67,3.42,4311,7886,0.985998403
0.5,Good,F,SI1,63.7,61,5.02,4.99,3.19,1125,40248,0.642154294
1.01,Very Good,G,I1,63.1,60,6.42,6.25,3.99,2108,49435,0.128793405
1.25,Ideal,I,VS1,61.6,56,6.91,6.95,4.27,7485,18414,0.606849679
0.26,Ideal,H,SI1,62.2,54,4.1,4.13,2.56,397,47310,0.344292684
0.46,Good,I,VVS1,63.5,57,4.85,4.91,3.1,1089,39707,0.442833182
1.02,Ideal,G,VS1,61.6,55,6.53,6.46,4,7129,17685,0.295740907
0.33,Ideal,H,IF,60.6,57,4.51,4.5,2.73,959,36898,0.973106962
0.32,Ideal,H,VVS1,60.4,57,4.46,4.42,2.68,936,36301,0.362696292
1.05,Premium,F,SI1,60.3,60,6.66,6.54,3.98,5557,13585,0.055555808
0.71,Very Good,F,SI1,63.2,56,5.66,5.61,3.56,2198,50036,0.86313274
0.72,Ideal,E,VS2,62.1,57,5.73,5.76,3.57,3235,2664,0.211112853
0.72,Very Good,J,VVS1,60.1,58,5.8,5.84,3.5,2208,50105,0.501323564
0.9,Good,H,SI2,62.4,61,6.03,6.11,3.79,3160,2287,0.260941333
2.63,Ideal,J,SI2,62.1,57,8.83,8.88,5.5,16914,26909,0.386840745
0.25,Ideal,I,VVS1,61.9,55,4.07,4.1,2.53,421,16683,0.158725437
0.51,Ideal,H,SI1,61.6,55,5.14,5.18,3.18,1222,41395,0.240881895
0.51,Ideal,G,VVS2,61.5,57,5.13,5.18,3.17,1875,47571,0.969001153
0.5,Good,F,SI2,57.7,62,5.22,5.18,3,926,36094,0.933619248
0.51,Ideal,E,SI1,62.2,57,5.12,5.08,3.17,1546,44024,0.979624522
1.23,Premium,F,VS1,61.3,60,6.9,6.94,4.24,9319,21162,0.693421142
0.56,Ideal,G,SI1,61.5,56,5.31,5.32,3.27,1633,44936,0.995369789
0.91,Good,E,SI1,64,61,6.01,6.06,3.86,3973,6088,0.433361094
0.33,Ideal,J,VS1,62.1,55,4.41,4.44,2.75,434,28645,0.651106483
1.51,Premium,H,SI1,62.8,60,7.22,7.14,4.51,7759,18908,0.069068715
0.44,Good,F,SI1,63.8,54,4.85,4.8,3.08,970,37118,0.029018678
0.72,Ideal,I,VVS2,61.2,59,5.75,5.79,3.53,2452,52053,0.649268358
2.1,Premium,I,SI1,61.5,57,8.25,8.21,5.06,15007,25888,0.775624828
1.13,Premium,G,VS2,61.9,58,6.7,6.67,4.14,7151,17759,0.106734868
1.01,Very Good,F,SI2,59.5,57,6.61,6.66,3.95,3709,4841,0.199541354
0.74,Premium,D,SI1,62.4,59,5.73,5.8,3.6,3036,1707,0.31447798
2,Good,E,SI2,57.3,65,8.26,8.22,4.72,13320,24892,0.427267149
1.5,Ideal,H,SI1,61.6,57,7.34,7.24,4.49,7627,18663,0.633975139
0.5,Ideal,F,VS2,62.7,57,5.06,5.11,3.19,1436,43664,0.662318526
0.73,Ideal,H,SI1,62,55,5.76,5.85,3.6,2656,53343,0.787350525
0.9,Good,E,VS2,63.7,54,6.13,6.15,3.91,4770,10350,0.254408744
1.17,Very Good,H,SI2,63.1,58,6.72,6.64,4.22,4455,8667,0.546713832
0.42,Ideal,G,VS1,62,55,4.78,4.83,2.98,921,36001,0.827124499
0.46,Ideal,D,VS2,62.4,56,4.95,4.98,3.1,1240,41670,0.595991988
1.01,Good,G,SI2,63.7,59,6.38,6.31,4.04,4135,6907,0.045133961
0.33,Ideal,E,VS2,62.3,55,4.46,4.43,2.77,928,36145,0.089149551
0.5,Ideal,E,VS2,61.6,55,5.09,5.14,3.15,1624,44820,0.857283595
